task_i,learn_time,before_time,test_time,before_check_time,check_time,stop_value,before_step,learn_step_N,after_step,before_check_step,check_step,raw_loss_val,before_loss_val,learn_loss_val,after_loss_val,raw_check_loss_val,before_check_loss_val,check_loss_val,raw-plannerADE1,raw-plannerFDE1,raw-plannerADE2,raw-plannerFDE2,raw-plannerADE3,raw-plannerFDE3,before-plannerADE1,before-plannerFDE1,before-plannerADE2,before-plannerFDE2,before-plannerADE3,before-plannerFDE3,cross-plannerADE1,cross-plannerFDE1,cross-plannerADE2,cross-plannerFDE2,cross-plannerADE3,cross-plannerFDE3,after-plannerADE1,after-plannerFDE1,after-plannerADE2,after-plannerFDE2,after-plannerADE3,after-plannerFDE3,raw_check-plannerADE1,raw_check-plannerFDE1,raw_check-plannerADE2,raw_check-plannerFDE2,raw_check-plannerADE3,raw_check-plannerFDE3,before_check-plannerADE1,before_check-plannerFDE1,before_check-plannerADE2,before_check-plannerFDE2,before_check-plannerADE3,before_check-plannerFDE3,check-plannerADE1,check-plannerFDE1,check-plannerADE2,check-plannerFDE2,check-plannerADE3,check-plannerFDE3
0,256.305392742157,10.579153776168823,13.447562217712402,"[9.043522357940674, 9.920988321304321, 11.148022890090942, 12.180455207824707, 9.88325023651123, 11.157235860824585, 11.103925943374634, 12.812440395355225, 11.730663299560547, 14.269014120101929]","[0.6931436061859131, 0.699213981628418, 0.7007620334625244, 0.7033393383026123, 0.702322244644165, 0.7062804698944092, 0.7051804065704346, 0.5669600963592529, 0.42876195907592773, 0.4250218868255615]",0.012195104733109474,20,420,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.021272504702210426,0.09586159884929657,0.012195104733109474,0.014189738780260086,"[0.007336065638810396, 0.008236146531999111, 0.008627133443951607, 0.00769173726439476, 0.010146192274987698, 0.0034565976820886135, 0.014279414899647236, 0.0031927491072565317, 0.00393043365329504, 0.006967797875404358]","[0.14249300956726074, 0.11102072149515152, 0.0799858570098877, 0.05833067744970322, 0.14031317830085754, 0.03142879903316498, 0.14220862090587616, 0.08309687674045563, 0.06685378402471542, 0.14247293770313263]","[0.00864094216376543, 0.007541396655142307, 0.0061046043410897255, 0.008116754703223705, 0.010345309972763062, 0.003487766720354557, 0.011542348191142082, 0.003255086252465844, 0.0031721838749945164, 0.007970103994011879]",0.024858253076672554,0.05034159868955612,0.1629544198513031,0.7057108283042908,1.520329475402832,8.374996185302734,0.2352333813905716,0.4456460475921631,0.5315635204315186,1.036116600036621,1.4430580139160156,7.403616905212402,0.10656717419624329,0.2113553285598755,0.2881413400173187,0.7660650610923767,1.1862657070159912,5.605673789978027,0.11650750786066055,0.23054322600364685,0.3017541766166687,0.780164897441864,1.197755217552185,5.650973320007324,0.024800349585711957,0.05019426420331001,0.15414246767759324,0.6684520959854126,1.4721670269966125,8.125821208953857,0.24217475950717926,0.46642346680164337,0.5025570869445801,0.8299256503582001,1.4018409967422485,6.927310419082642,0.030882309563457964,0.06152054071426392,0.13913535252213477,0.5559405207633972,1.244470751285553,6.870237255096436
1,303.2119972705841,8.509199380874634,12.60521650314331,"[10.460553407669067, 12.21610713005066, 12.215742588043213, 12.218164205551147, 13.946146488189697, 15.283285140991211, 8.723160743713379, 9.772942304611206, 10.831469297409058, 9.712366342544556]","[8.684631824493408, 8.705814123153687, 9.010753631591797, 9.859202861785889, 8.805641174316406, 8.61716914176941, 10.002228736877441, 13.611756086349487, 12.200732469558716, 10.92088532447815]",0.26595190167427063,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.008180155418813229,0.2962506413459778,0.3242987096309662,0.33504271507263184,"[0.00629187747836113, 0.0027363335248082876, 0.005262403283268213, 0.006599279120564461, 0.004132024943828583, 0.006798640824854374, 0.006295422557741404, 0.0036578045692294836, 0.004816404543817043, 0.004335225094109774]","[0.3019007444381714, 0.45315974950790405, 0.45503565669059753, 0.23662696778774261, 0.42367032170295715, 0.4787350594997406, 0.25619083642959595, 0.5146490931510925, 0.4076831638813019, 0.6044156551361084]","[0.34329953789711, 0.7001875042915344, 0.3596816062927246, 0.2611711025238037, 0.401410311460495, 0.33377304673194885, 0.29217952489852905, 0.4774094223976135, 0.25746050477027893, 0.5377047061920166]",0.0562097504734993,0.11713604629039764,0.2018825113773346,0.6510128378868103,1.3665733337402344,7.227038383483887,1.3397339582443237,2.8868892192840576,3.6781394481658936,6.375131607055664,6.550632953643799,16.958606719970703,1.9335945844650269,4.167032718658447,5.313748836517334,9.108054161071777,9.244402885437012,21.59793472290039,1.946152687072754,4.214780807495117,5.44085693359375,9.36595344543457,9.43822956085205,21.957860946655273,0.05620690286159515,0.11721777021884919,0.21052706390619277,0.6903498411178589,1.5197279453277588,8.19664740562439,1.541324496269226,3.275023674964905,3.8384107112884522,6.395570755004883,6.659466791152954,16.92260389328003,2.0391273856163026,4.416228127479553,5.670674753189087,9.618710231781005,9.404969215393066,21.581356620788576
2,273.9145200252533,8.726487159729004,8.600002527236938,"[8.859516143798828, 8.631181478500366, 8.591958284378052, 8.598772287368774, 8.612887144088745, 8.835228681564331, 8.69848108291626, 10.480161905288696, 13.537900447845459, 13.353579044342041]","[8.622360706329346, 8.539502143859863, 8.44747281074524, 8.541738986968994, 8.571099758148193, 8.536140441894531, 9.200750589370728, 8.58172869682312, 8.615991115570068, 8.609189510345459]",0.3466137945652008,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.005418458953499794,0.3887728154659271,0.3726961016654968,0.39645135402679443,"[0.0016730751376599073, 0.0019288095645606518, 0.0016742963343858719, 0.0016168305883184075, 0.0017065671272575855, 0.002612564479932189, 0.003034992842003703, 0.0013719298876821995, 0.004720750730484724, 0.0016523259691894054]","[0.3805238604545593, 0.3741810917854309, 0.3747636377811432, 0.391606867313385, 0.37987130880355835, 0.38369789719581604, 0.38195502758026123, 0.3687179386615753, 0.41012293100357056, 0.38732802867889404]","[0.3932265043258667, 0.3839243948459625, 0.3840472102165222, 0.3976725935935974, 0.387126088142395, 0.3921070694923401, 0.387932687997818, 0.3794212341308594, 0.415503591299057, 0.3989953100681305]",0.0814727172255516,0.1690496802330017,0.2982553243637085,0.8654696941375732,1.7529743909835815,9.167131423950195,5.166773319244385,11.160001754760742,11.59399700164795,11.462379455566406,12.550227165222168,19.193016052246094,5.137870788574219,11.078490257263184,11.28534984588623,10.586236953735352,12.00756549835205,18.11930274963379,5.189431190490723,11.160597801208496,11.1947660446167,10.293400764465332,11.943885803222656,18.117462158203125,0.0814248874783516,0.16893410831689834,0.2815075099468231,0.7760858476161957,1.6021472573280335,8.36462197303772,5.178667783737183,11.185419750213622,11.58436689376831,11.340099239349366,12.414924430847169,18.751437950134278,5.20294075012207,11.193367290496827,11.216308689117431,10.226870059967041,11.81558542251587,17.64465389251709
3,299.39453768730164,8.711692571640015,13.25740933418274,"[8.644506454467773, 8.610617876052856, 8.619110107421875, 8.62403130531311, 8.61669135093689, 8.790550231933594, 8.654359340667725, 8.586290836334229, 8.674482583999634, 8.598655939102173]","[11.253467559814453, 8.558950185775757, 9.91175103187561, 9.927356719970703, 11.164248943328857, 13.13620662689209, 9.763202667236328, 10.103396892547607, 8.63088846206665, 8.627543687820435]",0.35099804401397705,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.004539264366030693,0.509638786315918,0.3526631295681,0.3777245283126831,"[0.0023165568709373474, 0.004216836765408516, 0.0021293675526976585, 0.002721575088799, 0.001490138005465269, 0.003324564080685377, 0.000850098964292556, 0.002943150233477354, 0.002593210432678461, 0.0012197098694741726]","[0.34794190526008606, 0.36667490005493164, 0.4989071488380432, 0.42703714966773987, 0.42406949400901794, 0.35451722145080566, 0.38489460945129395, 0.4604041874408722, 0.47526946663856506, 0.31393787264823914]","[0.21503597497940063, 0.3368758261203766, 0.5267541408538818, 0.4072757363319397, 0.44567906856536865, 0.2799927592277527, 0.3046208620071411, 0.3394924998283386, 0.3539154827594757, 0.30177444219589233]",0.024136336520314217,0.05118254944682121,0.14477473497390747,0.6338837146759033,1.4359053373336792,7.970669746398926,5.795841693878174,12.6627197265625,15.339071273803711,21.846839904785156,21.637908935546875,42.55896759033203,5.842700481414795,12.939348220825195,17.05039405822754,26.288022994995117,24.309131622314453,45.965415954589844,5.842003345489502,12.926633834838867,16.946863174438477,25.975658416748047,24.08976173400879,45.351219177246094,0.024347104877233506,0.0517302144318819,0.14664642363786698,0.6323335826396942,1.3989875674247743,7.7246620655059814,5.747609186172485,12.61232042312622,15.559484386444092,22.6877082824707,21.443621826171874,40.45210914611816,5.735198020935059,12.715186309814452,16.947790908813477,26.77809295654297,23.970585060119628,44.49312858581543
4,329.06347012519836,9.161237716674805,0.7046306133270264,"[12.149103879928589, 12.34174656867981, 12.075231313705444, 12.142755508422852, 13.443583965301514, 10.932830333709717, 10.862520694732666, 12.921849250793457, 13.29541277885437, 13.23755145072937]","[0.6800246238708496, 0.6816961765289307, 0.6681134700775146, 0.6683554649353027, 0.6267898082733154, 0.423084020614624, 0.4260702133178711, 0.4243032932281494, 0.42770814895629883, 0.4372265338897705]",0.13308623433113098,20,500,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.01108512468636036,0.1972750574350357,0.135999858379364,0.008486171253025532,"[0.0036877933889627457, 0.003901822492480278, 0.003934354521334171, 0.0015944489277899265, 0.0011677119182422757, 0.002480677794665098, 0.004452856723219156, 0.0022295983508229256, 0.006213023792952299, 0.006677369587123394]","[0.14863502979278564, 0.22073869407176971, 0.18720951676368713, 0.16398128867149353, 0.1814926713705063, 0.16483113169670105, 0.2098822444677353, 0.2062004953622818, 0.1967276930809021, 0.15350571274757385]","[0.005994526669383049, 0.003293754067271948, 0.001991754863411188, 0.008294431492686272, 0.004710664041340351, 0.005000243429094553, 0.003961970563977957, 0.00405019149184227, 0.007111632265150547, 0.006329357624053955]",0.07049758732318878,0.1463012397289276,0.26088136434555054,0.8093664050102234,1.709254503250122,9.095497131347656,0.9330860376358032,1.8928166627883911,1.6496344804763794,2.222501277923584,2.474071979522705,6.71238374710083,0.8158237934112549,1.6596274375915527,1.5571726560592651,2.272830009460449,2.492661476135254,6.681286811828613,0.13282977044582367,0.272163063287735,0.3870700001716614,0.940966784954071,1.6659176349639893,8.259184837341309,0.07083536311984062,0.14754284024238587,0.2520611330866814,0.7334864616394043,1.5201980471611023,7.999297761917115,0.9083293199539184,1.8279293656349183,1.5408812880516052,2.0520971775054933,2.1159967303276064,5.047411155700684,0.1413393497467041,0.2870721608400345,0.379350808262825,0.8712421178817749,1.4423172235488892,6.841248798370361
5,300.7067630290985,12.211572408676147,9.656400680541992,"[12.245865821838379, 13.416683673858643, 13.387504577636719, 13.308971405029297, 8.837605714797974, 8.832297563552856, 11.077767848968506, 9.899532556533813, 9.309739589691162, 10.69960904121399]","[0.6890027523040771, 0.5571818351745605, 0.42521214485168457, 0.4727323055267334, 0.43211960792541504, 0.43184876441955566, 8.592529058456421, 0.43002796173095703, 0.4299159049987793, 0.5650520324707031]",0.05242859199643135,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 20, 1, 1, 1]",0.004495653323829174,0.1833883672952652,0.06455539166927338,0.06344502419233322,"[0.001370173180475831, 0.0013793950201943517, 0.002264847280457616, 0.0022580157965421677, 0.0014800922945141792, 0.002215123036876321, 0.0030238379258662462, 0.0007694202940911055, 0.001421877765096724, 0.0024803155101835728]","[0.19353929162025452, 0.19667817652225494, 0.18296697735786438, 0.1951015591621399, 0.20393647253513336, 0.19360768795013428, 0.19824112951755524, 0.21299725770950317, 0.21080508828163147, 0.34211236238479614]","[0.0029726317152380943, 0.002423106227070093, 0.004065051209181547, 0.003914923407137394, 0.0044829570688307285, 0.0032195765525102615, 0.02923884615302086, 0.0015365206636488438, 0.0010869561228901148, 0.005070267710834742]",0.06406018137931824,0.14052735269069672,0.23212209343910217,0.733707070350647,1.6314314603805542,8.756269454956055,3.1130788326263428,6.64894962310791,6.768360137939453,8.55372142791748,9.351863861083984,17.780820846557617,1.0221275091171265,2.20025372505188,2.7079105377197266,4.231021881103516,3.5779671669006348,6.986472129821777,0.9863973259925842,2.120431661605835,2.6154122352600098,4.110945701599121,3.450723648071289,6.736248016357422,0.06393852978944778,0.1398160770535469,0.21524164825677872,0.6569694817066193,1.4591984033584595,7.822772073745727,3.156078267097473,6.715063047409058,6.780510663986206,8.761685943603515,9.56418285369873,18.4747522354126,0.19235312789678574,0.4218872353434563,0.6164467692375183,1.1831404983997345,1.6580196142196655,7.076956129074096
6,247.7104949951172,11.290595531463623,9.669921398162842,"[11.811770915985107, 13.088159799575806, 0.6771082878112793, 13.971869945526123, 13.959210395812988, 12.954195261001587, 0.43219470977783203, 9.93598198890686, 11.428207874298096, 13.67119288444519]","[0.7046058177947998, 0.5544388294219971, 0.4282550811767578, 0.4289436340332031, 0.42871975898742676, 0.43320131301879883, 0.42989587783813477, 0.42866015434265137, 0.4281935691833496, 0.43027687072753906]",0.018253963440656662,20,500,20,"[20, 20, 1, 20, 20, 20, 1, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.010134276002645493,0.03630926087498665,0.018253963440656662,0.018091410398483276,"[0.001169566996395588, 0.0037793247029185295, 0.000732643820811063, 0.001508631044998765, 0.0019673374481499195, 0.00115104706492275, 0.0008013486512936652, 0.0007646451704204082, 0.0013811083044856787, 0.0006115244468674064]","[0.018045786768198013, 0.016194064170122147, 0.0010295395040884614, 0.020016614347696304, 0.023684076964855194, 0.022205019369721413, 0.0008707342203706503, 0.02123025804758072, 0.023609492927789688, 0.013885686174035072]","[0.0014548735925927758, 0.0026686121709644794, 0.0009078749571926892, 0.0025015040300786495, 0.0019289429765194654, 0.0014402653323486447, 0.0009972132975235581, 0.001546207582578063, 0.00216194661334157, 0.0016779825091362]",0.04031028226017952,0.08526979386806488,0.20265918970108032,0.7595213651657104,1.6345947980880737,8.90555191040039,0.888611376285553,2.0200181007385254,3.2977728843688965,6.381329536437988,5.542276859283447,11.371893882751465,0.5265600085258484,1.1875851154327393,2.0494983196258545,4.272403717041016,3.748593807220459,8.448456764221191,0.5276997089385986,1.1902549266815186,2.05190110206604,4.272729873657227,3.747990846633911,8.440004348754883,0.040278999134898186,0.08494116142392158,0.19428909718990325,0.7170380532741547,1.510959553718567,8.14835066795349,0.7176940619945527,1.6318005323410034,2.6672454506158827,5.183351945877075,4.668615698814392,10.606720161437988,0.06694713681936264,0.1445555105805397,0.2706358790397644,0.7515887916088104,1.3705859303474426,6.855576658248902
7,297.3605544567108,11.320682764053345,12.291028261184692,"[10.303301334381104, 10.838542938232422, 13.36797022819519, 12.733884572982788, 8.526798009872437, 8.536521911621094, 10.929423809051514, 12.605980634689331, 12.281597375869751, 13.324084043502808]","[12.299649715423584, 10.049853563308716, 11.099827527999878, 12.328158378601074, 13.403187990188599, 10.181185722351074, 12.516725063323975, 13.30616044998169, 12.024401664733887, 13.22017765045166]",0.21569174528121948,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.006468814332038164,0.319393515586853,0.21569174528121948,0.22370383143424988,"[0.003297823714092374, 0.003741807071492076, 0.002692398615181446, 0.0009148104581981897, 0.0018653178121894598, 0.0020827522967010736, 0.005311466753482819, 0.005143911112099886, 0.00468176044523716, 0.0032564878929406404]","[0.3082325756549835, 0.30727410316467285, 0.289536714553833, 0.35501953959465027, 0.3287571966648102, 0.31837424635887146, 0.3051592707633972, 0.3042043447494507, 0.3281400501728058, 0.32184043526649475]","[0.20522922277450562, 0.19178597629070282, 0.20339669287204742, 0.20929105579853058, 0.19531063735485077, 0.21616238355636597, 0.2060675472021103, 0.20597118139266968, 0.2051364779472351, 0.21307525038719177]",0.056988511234521866,0.12291564047336578,0.2359350323677063,0.7775134444236755,1.672690749168396,8.934595108032227,3.555217742919922,7.664602279663086,7.6155476570129395,6.469254970550537,8.352025985717773,14.780263900756836,3.5176682472229004,7.762990951538086,9.74583625793457,13.721139907836914,12.794336318969727,22.728164672851562,3.518508195877075,7.76846981048584,9.840791702270508,14.092273712158203,13.097949028015137,23.38018798828125,0.056776462122797966,0.12218493893742562,0.21889877021312715,0.6950339019298554,1.4820582509040832,7.934135770797729,3.5841105699539186,7.710949993133545,7.5462236404418945,6.279674959182739,8.275538349151612,14.570350742340088,3.4961263656616213,7.724618244171142,9.806204414367675,14.031809234619141,13.042969989776612,23.525376892089845
8,291.0212080478668,11.921841859817505,0.5139625072479248,"[10.2821364402771, 10.691634893417358, 11.973608493804932, 8.607743740081787, 8.78598403930664, 8.734966516494751, 11.816090106964111, 8.523999452590942, 10.270968914031982, 10.671284437179565]","[0.4264709949493408, 0.4353024959564209, 0.4299757480621338, 0.43715333938598633, 0.4297597408294678, 0.4270052909851074, 0.4283943176269531, 0.4282698631286621, 0.4289231300354004, 0.5738174915313721]",0.017690451815724373,20,500,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.006865601986646652,0.09732166677713394,0.017690451815724373,0.004910782910883427,"[0.0036506359465420246, 0.0016514889430254698, 0.0023079263046383858, 0.00205429270863533, 0.00421068724244833, 0.00232497020624578, 0.0034709421452134848, 0.0019523814553394914, 0.0045776073820889, 0.0026154033839702606]","[0.11577293276786804, 0.06604905426502228, 0.14345170557498932, 0.050685085356235504, 0.07409659773111343, 0.05719020217657089, 0.06463714689016342, 0.04139218479394913, 0.04161369428038597, 0.06917683780193329]","[0.005888392683118582, 0.0017252684338018298, 0.0019209617748856544, 0.0018490380607545376, 0.0035220093559473753, 0.0026709595695137978, 0.0026901315432041883, 0.0014328728429973125, 0.005526827648282051, 0.0021641079802066088]",0.028270302340388298,0.059663236141204834,0.15947595238685608,0.657747745513916,1.445861577987671,7.944180965423584,0.333345890045166,0.677264928817749,0.8037638664245605,1.384171724319458,1.8633651733398438,7.057546138763428,0.17871752381324768,0.3691515326499939,0.43786415457725525,0.8005491495132446,1.2173070907592773,4.9448041915893555,0.0478358119726181,0.10084974765777588,0.17443132400512695,0.5703186392784119,1.266587734222412,6.819788932800293,0.02814098745584488,0.05895562283694744,0.15731405168771745,0.6535390079021454,1.4397793889045716,7.919264316558838,0.2898829862475395,0.5883902072906494,0.7773064792156219,1.5921172142028808,1.9110067009925842,6.91547040939331,0.04679180458188057,0.09878172427415848,0.17469308227300645,0.5797135472297669,1.264682900905609,6.795099782943725
9,316.1523048877716,10.937342643737793,11.529669046401978,"[11.226571798324585, 10.506171941757202, 9.866944551467896, 9.920714616775513, 8.996605396270752, 10.659359693527222, 12.292324304580688, 10.380576372146606, 10.92806887626648, 12.682745218276978]","[11.716588497161865, 0.429795503616333, 9.890364646911621, 10.042405366897583, 9.971700191497803, 8.708691120147705, 9.501594543457031, 12.487171173095703, 13.340630769729614, 11.03374195098877]",0.13275286555290222,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 1, 20, 20, 20, 20, 20, 20, 20, 20]",0.0030497515108436346,0.184488907456398,0.21745464205741882,0.20459502935409546,"[0.0019395913695916533, 0.0006057381397113204, 0.0007218494429253042, 0.0002995294635184109, 0.0017488915473222733, 0.0012708203867077827, 0.0025589466094970703, 0.001312376232817769, 0.0007283464656211436, 0.0014550710329785943]","[0.21655434370040894, 0.15891790390014648, 0.18382179737091064, 0.18079587817192078, 0.12456686794757843, 0.22880703210830688, 0.2265758514404297, 0.16475865244865417, 0.18876361846923828, 0.1362418383359909]","[0.22800400853157043, 0.004310948774218559, 0.2030182182788849, 0.1527336835861206, 0.12819992005825043, 0.1898767650127411, 0.2490033358335495, 0.16785073280334473, 0.16404590010643005, 0.1527778059244156]",0.0379849448800087,0.08237612247467041,0.1769123524427414,0.6652456521987915,1.4447379112243652,7.902996063232422,2.7001678943634033,6.045184135437012,9.070809364318848,16.75391387939453,15.133044242858887,30.527755737304688,2.6444802284240723,5.877505302429199,8.527738571166992,15.407008171081543,14.369874954223633,29.556472778320312,2.6939337253570557,5.99200963973999,8.697762489318848,15.568792343139648,14.481878280639648,29.62055015563965,0.037923165038228034,0.08199701458215714,0.17326353043317794,0.6743721842765809,1.4863725066184998,8.13649754524231,2.930071210861206,6.549773645401001,9.447143745422363,16.26241178512573,14.728567695617675,29.672387313842773,2.6463643193244932,5.898626232147217,8.388040232658387,14.273193597793579,13.232621955871583,27.51638526916504
