task_i,learn_time,before_time,test_time,before_check_time,check_time,stop_value,before_step,learn_step_N,after_step,before_check_step,check_step,raw_loss_val,before_loss_val,learn_loss_val,after_loss_val,raw_check_loss_val,before_check_loss_val,check_loss_val,raw-plannerADE1,raw-plannerFDE1,raw-plannerADE2,raw-plannerFDE2,raw-plannerADE3,raw-plannerFDE3,before-plannerADE1,before-plannerFDE1,before-plannerADE2,before-plannerFDE2,before-plannerADE3,before-plannerFDE3,cross-plannerADE1,cross-plannerFDE1,cross-plannerADE2,cross-plannerFDE2,cross-plannerADE3,cross-plannerFDE3,after-plannerADE1,after-plannerFDE1,after-plannerADE2,after-plannerFDE2,after-plannerADE3,after-plannerFDE3,raw_check-plannerADE1,raw_check-plannerFDE1,raw_check-plannerADE2,raw_check-plannerFDE2,raw_check-plannerADE3,raw_check-plannerFDE3,before_check-plannerADE1,before_check-plannerFDE1,before_check-plannerADE2,before_check-plannerFDE2,before_check-plannerADE3,before_check-plannerFDE3,check-plannerADE1,check-plannerFDE1,check-plannerADE2,check-plannerFDE2,check-plannerADE3,check-plannerFDE3
0,13.147246599197388,8.865988969802856,1.200972080230713,"[7.796554088592529, 8.259926557540894, 7.864394426345825, 7.689214706420898, 7.645155668258667, 7.950085163116455, 7.686320781707764, 7.721734046936035, 7.695594549179077, 7.669739007949829]","[0.38799047470092773, 0.38802075386047363, 0.3833153247833252, 0.3882105350494385, 0.7752189636230469, 0.39120006561279297, 0.7698342800140381, 0.38726091384887695, 0.3844292163848877, 0.38677549362182617]",0.008555413223803043,20,23,3,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",0.021272504702210426,0.06504490226507187,0.007793360855430365,0.007663296535611153,"[0.007336065638810396, 0.008236146531999111, 0.008627133443951607, 0.00769173726439476, 0.010146192274987698, 0.0034565976820886135, 0.014279414899647236, 0.0031927491072565317, 0.00393043365329504, 0.006967797875404358]","[0.05058305710554123, 0.04760046675801277, 0.019016753882169724, 0.032774150371551514, 0.02978801727294922, 0.013324436731636524, 0.040383897721767426, 0.019501321017742157, 0.030457207933068275, 0.05915218964219093]","[0.0066316332668066025, 0.006248452700674534, 0.005857255309820175, 0.007724782917648554, 0.007145013194531202, 0.0027010561898350716, 0.005974640604108572, 0.0023671695962548256, 0.0027230139821767807, 0.005952105391770601]",0.024858253076672554,0.05034159868955612,0.1629544198513031,0.7057108283042908,1.520329475402832,8.374996185302734,0.16675810515880585,0.32096463441848755,0.48924121260643005,1.145756721496582,1.2658838033676147,5.347554683685303,0.04471974074840546,0.09256529808044434,0.16997799277305603,0.6069629192352295,1.1996989250183105,6.152155876159668,0.044314879924058914,0.0918310210108757,0.16905269026756287,0.6043570041656494,1.1992851495742798,6.1545562744140625,0.024800349585711957,0.05019426420331001,0.15414246767759324,0.6684520959854126,1.4721670269966125,8.125821208953857,0.17455869317054748,0.34172838032245634,0.420429864525795,0.870574164390564,1.1697647094726562,5.069721984863281,0.030587237142026425,0.06209985427558422,0.14042796716094016,0.5565610945224762,1.2170102000236511,6.603437709808349
1,20.5668728351593,7.684286594390869,0.38631606101989746,"[7.742466926574707, 7.897945880889893, 11.907150268554688, 12.062215328216553, 12.253684520721436, 12.416819095611572, 12.300905227661133, 8.450603246688843, 10.635118007659912, 10.739756345748901]","[0.38254475593566895, 0.38594651222229004, 0.3816385269165039, 0.3789687156677246, 0.3791790008544922, 0.3798997402191162, 0.3810763359069824, 0.37853550910949707, 0.37892603874206543, 0.38179874420166016]",0.013205716386437416,20,41,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.008180155418813229,0.3652653992176056,0.00981172639876604,0.00981172639876604,"[0.00629187747836113, 0.0027363335248082876, 0.005262403283268213, 0.006599279120564461, 0.004132024943828583, 0.006798640824854374, 0.006295422557741404, 0.0036578045692294836, 0.004816404543817043, 0.004335225094109774]","[0.34682542085647583, 0.2825172543525696, 0.4147363007068634, 0.30469876527786255, 0.39211443066596985, 0.3142015337944031, 0.3443385064601898, 0.31536969542503357, 0.28763115406036377, 0.45029550790786743]","[0.0070415157824754715, 0.003983223345130682, 0.005955232307314873, 0.0069800373166799545, 0.005774053279310465, 0.0077951401472091675, 0.006675985641777515, 0.004556666128337383, 0.005072600208222866, 0.006436706054955721]",0.0562097504734993,0.11713604629039764,0.2018825113773346,0.6510128378868103,1.3665733337402344,7.227038383483887,1.2611794471740723,2.6049370765686035,2.637746810913086,4.162435531616211,4.780376434326172,13.285577774047852,0.09758839756250381,0.2070913314819336,0.2800253927707672,0.6627534031867981,1.2907664775848389,6.413269996643066,0.09758839756250381,0.2070913314819336,0.2800253927707672,0.6627534031867981,1.2907664775848389,6.413269996643066,0.05620690286159515,0.11721777021884919,0.21052706390619277,0.6903498411178589,1.5197279453277588,8.19664740562439,1.1484213948249817,2.3947533130645753,2.5846688032150267,4.195727086067199,4.816210460662842,13.6891921043396,0.0967065341770649,0.20563107579946518,0.2859177976846695,0.6868417859077454,1.3771761178970336,6.998009824752808
2,8.966694116592407,8.235247611999512,0.3791184425354004,"[13.46896481513977, 12.678194761276245, 12.739229202270508, 12.595606803894043, 12.581875801086426, 12.58909296989441, 12.53358006477356, 11.884992361068726, 7.500768184661865, 7.490241050720215]","[0.3774902820587158, 0.373492956161499, 0.3704407215118408, 0.369920015335083, 10.210792541503906, 0.6296453475952148, 0.6318118572235107, 0.6282916069030762, 11.99055790901184, 0.37985801696777344]",0.03912002220749855,20,21,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 20, 1, 1, 1, 20, 1]",0.005418458953499794,0.8452095985412598,0.01599986106157303,0.01599986106157303,"[0.0016730751376599073, 0.0019288095645606518, 0.0016742963343858719, 0.0016168305883184075, 0.0017065671272575855, 0.002612564479932189, 0.003034992842003703, 0.0013719298876821995, 0.004720750730484724, 0.0016523259691894054]","[0.8608291149139404, 0.8406521081924438, 0.8351755142211914, 0.8654764294624329, 0.8507618308067322, 0.8031603097915649, 0.8752619028091431, 0.8872225284576416, 0.8442080020904541, 0.885639488697052]","[0.01525640394538641, 0.009686856530606747, 0.010814901441335678, 0.013800304383039474, 0.6284444332122803, 0.023465314880013466, 0.018176721408963203, 0.018391793593764305, 0.638327956199646, 0.01653437875211239]",0.0814727172255516,0.1690496802330017,0.2982553243637085,0.8654696941375732,1.7529743909835815,9.167131423950195,4.7762651443481445,9.69137954711914,6.724037170410156,5.65620756149292,6.906982898712158,8.319926261901855,0.32918986678123474,0.6724634766578674,0.6763062477111816,0.995720386505127,1.802880883216858,8.209455490112305,0.32918986678123474,0.6724634766578674,0.6763062477111816,0.995720386505127,1.802880883216858,8.209455490112305,0.0814248874783516,0.16893410831689834,0.2815075099468231,0.7760858476161957,1.6021472573280335,8.36462197303772,4.785207319259643,9.699314785003661,6.697634983062744,5.661502695083618,6.906953954696656,8.404276752471924,0.8897648870944976,1.7959850311279297,1.4220970153808594,1.6995181262493133,2.4723400592803957,8.012176561355592
3,25.80225944519043,7.4920032024383545,0.6378252506256104,"[7.460923433303833, 7.45576286315918, 7.478358268737793, 7.460415601730347, 7.498544216156006, 7.489708662033081, 7.52371072769165, 7.497043132781982, 10.182619571685791, 12.590826272964478]","[0.6475694179534912, 0.6340739727020264, 0.6310396194458008, 0.6323261260986328, 0.62725830078125, 0.6309406757354736, 0.6269209384918213, 0.627722978591919, 0.6287357807159424, 0.634418249130249]",0.028814222663640976,20,41,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.004539264366030693,0.6090764403343201,0.009626464918255806,0.009626464918255806,"[0.0023165568709373474, 0.004216836765408516, 0.0021293675526976585, 0.002721575088799, 0.001490138005465269, 0.003324564080685377, 0.000850098964292556, 0.002943150233477354, 0.002593210432678461, 0.0012197098694741726]","[0.5639334917068481, 0.5819430351257324, 0.6250150203704834, 0.674052357673645, 0.5962684154510498, 0.6028672456741333, 0.48745667934417725, 0.6269519925117493, 0.6118522882461548, 0.5321810841560364]","[0.0074591077864170074, 0.009755411185324192, 0.005323747172951698, 0.005183722823858261, 0.006155380047857761, 0.007938260212540627, 0.0034903211053460836, 0.006308563984930515, 0.008938640356063843, 0.004996038042008877]",0.024136336520314217,0.05118254944682121,0.14477473497390747,0.6338837146759033,1.4359053373336792,7.970669746398926,5.250126361846924,11.740984916687012,16.23199462890625,25.797069549560547,23.6259765625,46.24520492553711,0.08272606879472733,0.17325137555599213,0.2599131762981415,0.677466869354248,1.409965991973877,7.568272590637207,0.08272606879472733,0.17325137555599213,0.2599131762981415,0.677466869354248,1.409965991973877,7.568272590637207,0.024347104877233506,0.0517302144318819,0.14664642363786698,0.6323335826396942,1.3989875674247743,7.7246620655059814,5.118578481674194,11.532190227508545,16.47530574798584,26.72926445007324,23.553439140319824,44.753705978393555,0.08306786045432091,0.17233608812093734,0.2587738633155823,0.6835162878036499,1.381073236465454,7.4839709281921385
4,288.5506765842438,12.353403568267822,7.5291748046875,"[12.748291969299316, 12.674543142318726, 12.640796184539795, 12.601017951965332, 9.151525020599365, 7.498416185379028, 7.516486644744873, 7.500572681427002, 7.8027215003967285, 11.736425161361694]","[0.38570237159729004, 0.37297677993774414, 0.38779354095458984, 7.506350040435791, 0.37529921531677246, 0.3778870105743408, 0.3727126121520996, 0.3764176368713379, 0.3813607692718506, 0.3782649040222168]",0.012745294719934464,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 20, 1, 1, 1, 1, 1, 1]",0.01108512468636036,0.12561926245689392,0.07984819263219833,0.08081786334514618,"[0.0036877933889627457, 0.003901822492480278, 0.003934354521334171, 0.0015944489277899265, 0.0011677119182422757, 0.002480677794665098, 0.004452856723219156, 0.0022295983508229256, 0.006213023792952299, 0.006677369587123394]","[0.07971365004777908, 0.06078866869211197, 0.13353468477725983, 0.07211609929800034, 0.08620636910200119, 0.08873432874679565, 0.08647721260786057, 0.09851107746362686, 0.11178839206695557, 0.08082998543977737]","[0.004405686631798744, 0.0023460830561816692, 0.003092135302722454, 0.06629092991352081, 0.005747842602431774, 0.005876785609871149, 0.0033035220112651587, 0.0070641967467963696, 0.00690036453306675, 0.008260374888777733]",0.07049758732318878,0.1463012397289276,0.26088136434555054,0.8093664050102234,1.709254503250122,9.095497131347656,1.197827696800232,2.5103588104248047,2.862717866897583,5.0932698249816895,4.951553821563721,13.043792724609375,1.3433114290237427,2.8452699184417725,3.1827361583709717,4.584543704986572,4.568958282470703,11.589088439941406,1.3983644247055054,2.9618003368377686,3.3268558979034424,4.896364688873291,4.914860725402832,12.418973922729492,0.07083536311984062,0.14754284024238587,0.2520611330866814,0.7334864616394043,1.5201980471611023,7.999297761917115,1.0365759313106537,2.1945430994033814,2.6838119983673097,4.9610669136047365,4.865435934066772,12.82907838821411,0.3261570379137993,0.7144398182630539,0.9416374564170837,1.5327714562416077,2.0196776151657105,7.874235010147094
5,10.262963771820068,7.525933742523193,1.5127222537994385,"[7.544162034988403, 7.510376691818237, 7.471469402313232, 7.479647636413574, 7.467503786087036, 7.488958120346069, 7.498247146606445, 7.49848747253418, 0.3764150142669678, 7.496343374252319]","[0.3788115978240967, 0.37444329261779785, 0.4990813732147217, 0.6277613639831543, 0.6233131885528564, 0.6267356872558594, 0.6331319808959961, 0.6312026977539062, 0.6118021011352539, 0.6264786720275879]",0.00639947596937418,20,24,4,"[20, 20, 20, 20, 20, 20, 20, 20, 1, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.004495653323829174,0.060209743678569794,0.003919024020433426,0.003769232891499996,"[0.001370173180475831, 0.0013793950201943517, 0.002264847280457616, 0.0022580157965421677, 0.0014800922945141792, 0.002215123036876321, 0.0030238379258662462, 0.0007694202940911055, 0.001421877765096724, 0.0024803155101835728]","[0.07913582772016525, 0.04930242896080017, 0.05631425231695175, 0.06811173260211945, 0.04238332062959671, 0.05288803204894066, 0.032679978758096695, 0.07384286820888519, 0.0007417199667543173, 0.13546200096607208]","[0.001868849853053689, 0.0014038927620276809, 0.0018823184072971344, 0.0018088381038978696, 0.0017681163735687733, 0.0022569417487829924, 0.0027261516079306602, 0.0005801230436190963, 0.0005070887855254114, 0.0018264958634972572]",0.06406018137931824,0.14052735269069672,0.23212209343910217,0.733707070350647,1.6314314603805542,8.756269454956055,0.6565310955047607,1.3851401805877686,1.7146791219711304,2.7613255977630615,2.2635128498077393,4.4085493087768555,0.21080231666564941,0.44672495126724243,0.6413366794586182,1.3415210247039795,1.59039306640625,5.713991165161133,0.2108074128627777,0.4466719627380371,0.6385002732276917,1.3346433639526367,1.5894421339035034,5.724790096282959,0.06393852978944778,0.1398160770535469,0.21524164825677872,0.6569694817066193,1.4591984033584595,7.822772073745727,0.6127940237522125,1.3027664586901664,1.6509400278329849,2.7161685466766357,2.315745544433594,4.956782245635987,0.09730345532298088,0.2083737999200821,0.29969654977321625,0.7116643488407135,1.3487244725227356,6.744922494888305
6,72.35870003700256,7.512638807296753,1.1841092109680176,"[7.4956700801849365, 7.489514112472534, 7.483409881591797, 7.455625295639038, 7.4797022342681885, 7.497632026672363, 7.469817399978638, 12.342381238937378, 12.556931972503662, 12.574577331542969]","[0.6166207790374756, 0.5820884704589844, 0.5917332172393799, 0.5776314735412598, 0.5888090133666992, 0.5572531223297119, 0.6270031929016113, 0.6373412609100342, 0.5834343433380127, 0.571892499923706]",0.0062765455804765224,20,102,2,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.010134276002645493,0.05656823515892029,0.005994692444801331,0.005990439560264349,"[0.001169566996395588, 0.0037793247029185295, 0.000732643820811063, 0.001508631044998765, 0.0019673374481499195, 0.00115104706492275, 0.0008013486512936652, 0.0007646451704204082, 0.0013811083044856787, 0.0006115244468674064]","[0.0598214752972126, 0.05326022580265999, 0.05203185975551605, 0.05538335070014, 0.03996552899479866, 0.04706106707453728, 0.04585622251033783, 0.053842511028051376, 0.051532238721847534, 0.059039629995822906]","[0.0018064245814457536, 0.0027708024717867374, 0.0007096620392985642, 0.0018277474446222186, 0.002936806995421648, 0.0013606093125417829, 0.0010428092209622264, 0.0009938763687387109, 0.002265338785946369, 0.0012615547748282552]",0.04031028226017952,0.08526979386806488,0.20265918970108032,0.7595213651657104,1.6345947980880737,8.90555191040039,1.3505017757415771,3.066519260406494,4.860208988189697,9.063400268554688,7.84442138671875,15.502607345581055,0.06874418258666992,0.14475727081298828,0.25551342964172363,0.7286804914474487,1.3540856838226318,6.787731170654297,0.0689021497964859,0.1449829339981079,0.2550166845321655,0.7276943922042847,1.353554129600525,6.786632537841797,0.040278999134898186,0.08494116142392158,0.19428909718990325,0.7170380532741547,1.510959553718567,8.14835066795349,1.3300214767456056,3.026849126815796,4.881243085861206,9.227056884765625,7.9042582511901855,15.545642948150634,0.054360038787126544,0.11480709835886956,0.20459773987531663,0.6430818438529968,1.3166698336601257,6.892824316024781
7,294.8573670387268,12.403906106948853,12.599195957183838,"[8.21338152885437, 7.519669771194458, 7.4706947803497314, 7.460904121398926, 7.46254301071167, 7.475560426712036, 7.4940879344940186, 7.459677696228027, 7.480372428894043, 7.455265760421753]","[12.564631938934326, 12.590940475463867, 12.61324691772461, 12.608042478561401, 12.61242127418518, 12.392500400543213, 12.4248788356781, 12.686645269393921, 12.293972969055176, 12.693201541900635]",0.03303595632314682,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.006468814332038164,0.7310203313827515,0.08445918560028076,0.0865054801106453,"[0.003297823714092374, 0.003741807071492076, 0.002692398615181446, 0.0009148104581981897, 0.0018653178121894598, 0.0020827522967010736, 0.005311466753482819, 0.005143911112099886, 0.00468176044523716, 0.0032564878929406404]","[0.6774922609329224, 0.6603987216949463, 0.7684608697891235, 0.6554468274116516, 0.6877999305725098, 0.7784084677696228, 0.7423151731491089, 0.7295329570770264, 0.6727797389030457, 0.7110905647277832]","[0.10508416593074799, 0.09290707111358643, 0.1279579997062683, 0.109855055809021, 0.09235886484384537, 0.11501409858465195, 0.08954162895679474, 0.08172331750392914, 0.09908964484930038, 0.09860683977603912]",0.056988511234521866,0.12291564047336578,0.2359350323677063,0.7775134444236755,1.672690749168396,8.934595108032227,3.550997495651245,7.647011756896973,7.407866954803467,5.778494834899902,7.479087829589844,12.873801231384277,2.8392813205718994,6.143733024597168,7.92974853515625,13.162924766540527,10.999909400939941,17.91922950744629,2.839071273803711,6.1362199783325195,7.884636878967285,13.069723129272461,10.920342445373535,17.792194366455078,0.056776462122797966,0.12218493893742562,0.21889877021312715,0.6950339019298554,1.4820582509040832,7.934135770797729,3.491281580924988,7.515123748779297,7.299244165420532,5.7869017124176025,7.610910654067993,13.54558868408203,2.7712151527404787,5.987280702590942,7.754918766021729,13.164042663574218,11.217751121520996,19.265018653869628
8,347.1271049976349,12.71967625617981,11.819062232971191,"[12.65275263786316, 12.637272119522095, 11.911080121994019, 11.817412614822388, 12.026602983474731, 12.73150110244751, 12.633480310440063, 12.72052550315857, 12.71828007698059, 12.6822350025177]","[11.770648717880249, 11.71481704711914, 11.819700479507446, 11.671895265579224, 12.064606189727783, 11.902755737304688, 12.546220541000366, 12.629551649093628, 12.267085313796997, 12.411679029464722]",0.02661409229040146,20,500,20,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",0.006865601986646652,0.05373255908489227,0.038470558822155,0.03781989961862564,"[0.0036506359465420246, 0.0016514889430254698, 0.0023079263046383858, 0.00205429270863533, 0.00421068724244833, 0.00232497020624578, 0.0034709421452134848, 0.0019523814553394914, 0.0045776073820889, 0.0026154033839702606]","[0.04564130678772926, 0.07304725795984268, 0.05324878916144371, 0.044728800654411316, 0.03531653806567192, 0.03681778162717819, 0.05568075552582741, 0.05967974290251732, 0.05669741705060005, 0.05211667716503143]","[0.029787221923470497, 0.05129866302013397, 0.03632336109876633, 0.026120398193597794, 0.03881840407848358, 0.021729208528995514, 0.03763199597597122, 0.03962377458810806, 0.04496966674923897, 0.034099142998456955]",0.028270302340388298,0.059663236141204834,0.15947595238685608,0.657747745513916,1.445861577987671,7.944180965423584,1.761277198791504,3.9912686347961426,6.5102434158325195,12.6530179977417,10.8504056930542,21.854419708251953,1.8002012968063354,4.097906112670898,6.892055511474609,13.691694259643555,11.504626274108887,22.317296981811523,1.800836443901062,4.0988922119140625,6.889294624328613,13.678838729858398,11.484406471252441,22.24248504638672,0.02814098745584488,0.05895562283694744,0.15731405168771745,0.6535390079021454,1.4397793889045716,7.919264316558838,1.7126636385917664,3.910786008834839,6.6039821147918705,13.134172725677491,11.336565399169922,23.712980651855467,1.7832617521286012,4.068350982666016,6.943426990509034,13.948762798309327,11.76262607574463,23.356071281433106
9,14.618888854980469,12.683545351028442,0.587505578994751,"[12.653029203414917, 12.678018569946289, 12.613236427307129, 12.627513408660889, 12.614537954330444, 12.72960638999939, 12.585443019866943, 12.681736469268799, 12.662668466567993, 12.6385338306427]","[0.581531286239624, 0.5883700847625732, 0.5960025787353516, 0.6257190704345703, 0.6299431324005127, 0.6265921592712402, 12.555680513381958, 0.6324779987335205, 0.6267354488372803, 0.6297237873077393]",0.0038746115751564503,20,21,1,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[1, 1, 1, 1, 1, 1, 20, 1, 1, 1]",0.0030497515108436346,0.434906542301178,0.0030009872280061245,0.0030009872280061245,"[0.0019395913695916533, 0.0006057381397113204, 0.0007218494429253042, 0.0002995294635184109, 0.0017488915473222733, 0.0012708203867077827, 0.0025589466094970703, 0.001312376232817769, 0.0007283464656211436, 0.0014550710329785943]","[0.37838971614837646, 0.14460352063179016, 0.26659291982650757, 0.21534280478954315, 0.20940940082073212, 0.3752870559692383, 0.27720218896865845, 0.2413325309753418, 0.17290179431438446, 0.24517980217933655]","[0.0016446486115455627, 0.004427772015333176, 0.004023639019578695, 0.0018526207422837615, 0.0037970952689647675, 0.0018434809753671288, 0.13273055851459503, 0.0035468111746013165, 0.0020412555895745754, 0.0020593651570379734]",0.0379849448800087,0.08237612247467041,0.1769123524427414,0.6652456521987915,1.4447379112243652,7.902996063232422,1.8308342695236206,3.8359408378601074,3.7795400619506836,5.111271381378174,5.407202243804932,11.59742259979248,0.0630447044968605,0.1294756531715393,0.21214203536510468,0.6328582763671875,1.253966212272644,6.66732931137085,0.0630447044968605,0.1294756531715393,0.21214203536510468,0.6328582763671875,1.253966212272644,6.66732931137085,0.037923165038228034,0.08199701458215714,0.17326353043317794,0.6743721842765809,1.4863725066184998,8.13649754524231,1.8408077120780946,3.8966030836105348,3.979014205932617,5.045467805862427,5.721157264709473,12.95646333694458,0.13480567336082458,0.2813967265188694,0.37883055955171585,0.8931089878082276,1.4987735629081727,7.090349769592285
